timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2019-12-27T00:00:00.000Z";"2019-12-27T23:59:59.999Z";"2019-12-27T23:10:08.000Z";"2019-12-27T12:06:02.000Z";"2781";0.0277631571;0.028879258;0.0254043655;0.027930243;1785.4;1120482.19354352;"2019-12-27T23:59:59.999Z"
"2019-12-26T00:00:00.000Z";"2019-12-26T23:59:59.999Z";"2019-12-26T06:47:12.000Z";"2019-12-26T02:41:12.000Z";"2781";0.0291423572;0.0307285145;0.026378351;0.0277617387;2031.25;1113722.27967193;"2019-12-26T23:59:59.999Z"
"2019-12-25T00:00:00.000Z";"2019-12-25T23:59:59.999Z";"2019-12-25T11:21:05.000Z";"2019-12-25T05:33:04.000Z";"2781";0.0310331743;0.0317443726;0.0286336383;0.0291423572;1668.99;1169108.78296419;"2019-12-25T23:59:59.999Z"
"2019-12-24T00:00:00.000Z";"2019-12-24T23:59:59.999Z";"2019-12-24T06:42:05.000Z";"2019-12-24T10:23:08.000Z";"2781";0.0321069799;0.0325882277;0.0263878033;0.0310363946;1823.69;1245092.19532897;"2019-12-24T23:59:59.999Z"
"2019-12-23T00:00:00.000Z";"2019-12-23T23:59:59.999Z";"2019-12-23T10:35:05.000Z";"2019-12-23T22:10:09.000Z";"2781";0.0318017403;0.0327475797;0.0280337907;0.032109806;1861.79;1288154.4178387;"2019-12-23T23:59:59.999Z"
"2019-12-22T00:00:00.000Z";"2019-12-22T23:59:59.999Z";"2019-12-22T21:03:02.000Z";"2019-12-22T05:32:06.000Z";"2781";0.0251718532;0.0321710603;0.02488828;0.0318143696;2506.04;1276302.34625605;"2019-12-22T23:59:59.999Z"
"2019-12-21T00:00:00.000Z";"2019-12-21T23:59:59.999Z";"2019-12-21T08:39:03.000Z";"2019-12-21T15:05:07.000Z";"2781";0.0278725715;0.0280545271;0.024831047;0.025165327;2589.45;1009561.60138126;"2019-12-21T23:59:59.999Z"
"2019-12-20T00:00:00.000Z";"2019-12-20T23:59:59.999Z";"2019-12-20T04:23:04.000Z";"2019-12-20T21:35:09.000Z";"2781";0.0278547559;0.0292246387;0.0257131808;0.0278687252;1503.19;1118014.2744109;"2019-12-20T23:59:59.999Z"
"2019-12-19T00:00:00.000Z";"2019-12-19T23:59:59.999Z";"2019-12-19T10:47:02.000Z";"2019-12-19T18:59:10.000Z";"2781";0.0293423352;0.031109194;0.0273740306;0.0278547559;2697.38;1117453.86822331;"2019-12-19T23:59:59.999Z"
"2019-12-18T00:00:00.000Z";"2019-12-18T23:59:59.999Z";"2019-12-18T01:30:05.000Z";"2019-12-18T13:53:04.000Z";"2781";0.0287696155;0.0304548313;0.0265117485;0.0293423352;2100.37;1177131.3327842;"2019-12-18T23:59:59.999Z"
"2019-12-17T00:00:00.000Z";"2019-12-17T23:59:59.999Z";"2019-12-17T11:08:11.000Z";"2019-12-17T23:12:06.000Z";"2781";0.0318469444;0.0326060334;0.0286075814;0.0287696155;1979.51;1154155.44035647;"2019-12-17T23:59:59.999Z"
"2019-12-16T00:00:00.000Z";"2019-12-16T23:59:59.999Z";"2019-12-16T00:13:11.000Z";"2019-12-16T00:00:03.000Z";"2781";0.0308681367;0.0364583771;0.0308681367;0.0318469444;2841.86;1277609.15633521;"2019-12-16T23:59:59.999Z"
"2019-12-15T00:00:00.000Z";"2019-12-15T23:59:59.999Z";"2019-12-15T14:12:08.000Z";"2019-12-15T17:36:07.000Z";"2781";0.0356702015;0.0357787049;0.0302523582;0.0308554548;2801.01;1237833.40282688;"2019-12-15T23:59:59.999Z"
"2019-12-14T00:00:00.000Z";"2019-12-14T23:59:59.999Z";"2019-12-14T23:59:09.000Z";"2019-12-14T08:58:09.000Z";"2781";0.0325176656;0.0356702015;0.031406032;0.0356702015;4449.98;1430987.39469255;"2019-12-14T23:59:59.999Z"
"2019-12-13T00:00:00.000Z";"2019-12-13T23:59:59.999Z";"2019-12-13T02:36:10.000Z";"2019-12-13T19:20:08.000Z";"2781";0.0334314337;0.0351654516;0.0317321002;0.0325172953;3880.39;1304501.73243825;"2019-12-13T23:59:59.999Z"
"2019-12-12T00:00:00.000Z";"2019-12-12T23:59:59.999Z";"2019-12-12T17:41:08.000Z";"2019-12-12T03:47:09.000Z";"2781";0.0325709183;0.0338867641;0.0316157013;0.0334435277;2986.12;1341659.55326111;"2019-12-12T23:59:59.999Z"
"2019-12-11T00:00:00.000Z";"2019-12-11T23:59:59.999Z";"2019-12-11T02:35:05.000Z";"2019-12-11T19:53:12.000Z";"2781";0.0328257928;0.035712978;0.0321625083;0.0325649416;2413.77;1306413.16737784;"2019-12-11T23:59:59.999Z"
"2019-12-10T00:00:00.000Z";"2019-12-10T23:59:59.999Z";"2019-12-10T00:59:11.000Z";"2019-12-10T23:51:02.000Z";"2781";0.0349311811;0.0368081656;0.0327990071;0.0328406473;2295.55;1317473.6974482;"2019-12-10T23:59:59.999Z"
"2019-12-09T00:00:00.000Z";"2019-12-09T23:59:59.999Z";"2019-12-09T09:39:05.000Z";"2019-12-09T01:48:04.000Z";"2781";0.0360376549;0.0370104693;0.0333950343;0.0349429929;3217.78;1401813.84704712;"2019-12-09T23:59:59.999Z"
"2019-12-08T00:00:00.000Z";"2019-12-08T23:59:59.999Z";"2019-12-08T23:11:10.000Z";"2019-12-08T10:25:09.000Z";"2781";0.034266769;0.0363857458;0.0309810311;0.0360581517;5445.73;1446550.85622665;"2019-12-08T23:59:59.999Z"
"2019-12-07T00:00:00.000Z";"2019-12-07T23:59:59.999Z";"2019-12-07T21:00:03.000Z";"2019-12-07T02:04:08.000Z";"2781";0.0321845627;0.0346198482;0.0316901916;0.0336463519;2935.91;1349796.28532923;"2019-12-07T23:59:59.999Z"
"2019-12-06T00:00:00.000Z";"2019-12-06T23:59:59.999Z";"2019-12-06T02:47:10.000Z";"2019-12-06T18:26:06.000Z";"2781";0.0372334077;0.039088849;0.0312131776;0.0321788781;5345.15;1290925.39359302;"2019-12-06T23:59:59.999Z"
"2019-12-05T00:00:00.000Z";"2019-12-05T23:59:59.999Z";"2019-12-05T11:39:06.000Z";"2019-12-05T16:42:07.000Z";"2781";0.0372355245;0.0389724487;0.0333926474;0.0372026001;1802.67;1492462.88236299;"2019-12-05T23:59:59.999Z"
